ui_number,ffl_number,ffl_type,ffl_proprietor,ffl_proprietor_2,ffl_address,ffl_city,ffl_state,ffl_zip,ffl_county,inspection_assign_date,inspection_complete_date,revocation_effective_date,final_disposition,revocation_warranted,violations,report_url
772060-2015-0708-B1B,3-36-097-01-6C-11452,Dealer,"Stone, Daniel Joseph",,33386 N Valley View,Round Lake,IL,60073,Lake,2015-08-04,2015-11-20,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/772060-2015-0708-B1B.pdf
762030-2016-0069-B1B,6-04-017-01-8M-36823,Dealer,"The Collector's Coin Gallery, Inc",,89 B Hancock Street,Stoneham,MA,02180,Middlesex,2015-10-07,2016-03-16,,Warning letter,N,"478.125(e), 478.99(c), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/762030-2016-0069-B1B.pdf
776055-2015-0260-B1B,1-62-037-01-7C-00832,Dealer,Wal-mart Stores East LP,Wal-mart Supercenter #710,4424 Lebanon Pike,Hermitage,TN,37076,Davidson,2015-08-06,2015-09-11,,Warning letter,N,478.125(h),https://atf-inspection-reports.s3.amazonaws.com/776055-2015-0260-B1B.pdf
775060-2016-0016-B1B,4-55-107-01-6D-95422,Dealer,"Azar, Robert W MD",,101 Grand Central Avenue,Vienna,WV,26105,Wood,2015-10-01,2016-11-03,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/775060-2016-0016-B1B.pdf
763050-2016-0462-B1B,1-56-117-01-8E-02974,Dealer,Martin Supply Company. Inc.,,118 Washington St,Williamston,NC,27892,Martin,2016-07-12,2016-10-13,,Warning letter,N,"478.125(e), 478.102(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/763050-2016-0462-B1B.pdf
777060-2016-0146-B1B,5-71-005-02-8A-02240,Pawnbroker,"Strain, Alan Brian",Ridge Runner Arms,712 CR 1034,Clarkridge,AR,72623,Baxter,2015-12-08,2016-12-20,,Warning letter,N,"478.125(e), 478.48",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0146-B1B.pdf
772060-2015-0758-B1B,3-36-037-01-6B-02638,Dealer,"Ellis, Richard",,"9316 U.s. RT 34, Suite B",Yorkville,IL,60560,Kendall,2015-09-16,2015-10-07,,Warning letter,N,"478.21(a), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/772060-2015-0758-B1B.pdf
772060-2016-0077-B1B,3-36-197-07-5L-03673,Manufacturer,Resurrection Arms Inc,,514 W 3rd St,Braidwood,IL,60408,Will,2015-10-05,2015-11-12,,Warning letter,N,"478.102(a), 478.124(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/772060-2016-0077-B1B.pdf
773015-2016-0034-B1B,4-31-049-01-9G-09749,Dealer,"Cantrell, J.C. & Hart, J.e.",Gun World,4069 Main Street,Hilliard,OH,43026,Franklin,2015-10-01,2016-09-19,,Warning conference,Y,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.99(c), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0034-B1B.pdf
765075-2017-0052-B1B,6-16-101-01-8M-02033,Dealer,"Nichols, John",Nichols Firearms,7729 County Route 112,Addison,NY,14801,Steuben,2016-11-03,2016-12-22,,Warning letter,N,"478.126a, 478.124(c)(1), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/765075-2017-0052-B1B.pdf
779080-2017-0184-B1B,5-47-153-01-8B-11311,Dealer,"Mattes, Dennis D",Mattes's Shooter Supply,13811 S 226th Cir,Gretna,NE,68028,Sarpy,2017-01-11,2017-05-05,,Warning letter,N,"478.125(e), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/779080-2017-0184-B1B.pdf
781025-2017-0061-B1B,5-75-423-01-7J-10261,Dealer,Atwood Distributing LP,Atwoods Ranch & Home #30,3000 WNW Loop 323,Tyler,TX,75702,Smith,2016-10-31,2016-12-08,,Warning letter,N,"478.124(c)(1), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/781025-2017-0061-B1B.pdf
762055-2016-0030-B1B,6-06-003-07-6D-01952,Manufacturer,Saar Corporation,,81 Spring Lane,Farmington,CT,06032,Hartford,2015-10-21,2016-11-03,,Revocation/denial of renewal,Y,"478.123(a), 478.123(b), 478.92(a)(1)(i), 478.92(a)(1)(ii), 478.92(a)(1), 478.39a, 478.22(c), 478.36(a), 479.61, 479.103, 18 USC 1001",https://atf-inspection-reports.s3.amazonaws.com/762055-2016-0030-B1B.pdf
787065-2016-0423-B1B,9-82-047-02-7C-07263,Pawnbroker,Simerly's Inc.,,280 S. Idaho St,Wendell,ID,83335,Gooding,2016-07-22,2017-04-19,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(5), 478.131(a)(2), 478.124(c)(4), 478.124(c)(3)(iv), 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/787065-2016-0423-B1B.pdf
784050-2017-0040-B1B,9-33-065-01-9B-01815,Dealer,"Guns Of Distinction, Inc.",Guns Of Distinction,"73360 Highway 111, Suites 5 & 6",Palm Desert,CA,92260,Riverside,2016-10-05,2017-01-18,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/784050-2017-0040-B1B.pdf
773075-2017-0142-B1B,4-35-065-01-9A-06643,Dealer,"Dugger, Seth Gamblin",Velocity Guns,3869 N. County Road 800 W.,Middletown,IN,47356,Henry,2016-11-17,2016-12-29,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773075-2017-0142-B1B.pdf
777040-2017-0074-B1B,5-72-033-07-7E-04654,Manufacturer,American Gun Co II LLC,Duplessis Rifles LLC,3312 Baker Blvd,Baker,LA,70714,East Baton Rouge Parish,2016-10-04,2017-04-05,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.123(a), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0074-B1B.pdf
781025-2016-0268-B1B,5-75-037-02-6J-00549,Pawnbroker,Texas Ezpawn LP,Ezpawn,3923 N State Line Ave,Texarkana,TX,75503,Bowie,2016-04-20,2016-06-17,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/781025-2016-0268-B1B.pdf
778025-2016-0394-B1B,3-39-127-01-8E-02672,Dealer,Donald H. Weyhrauch,Dons Gun Shop,431 Observatory Place,Williams Bay,WI,53191,Walworth,2016-05-26,2016-09-16,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/778025-2016-0394-B1B.pdf
763025-2015-0386-B1B,1-56-125-01-7C-03882,Dealer,"Jarman, Robert Carroll",RJ Sports,120 North Middleton Street,Robbins,NC,27325,Moore,2015-08-13,2015-09-03,,Warning letter,N,"478.125(e), 478.124(c)(3)(i), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/763025-2015-0386-B1B.pdf
768090-2017-0080-B1B,1-54-720-01-8A-38578,Dealer,Colgard Mine Products Inc,Colgard Outdoor Sports,600 Park Ave NE,Norton,VA,24273,Norton City,2017-03-08,2017-04-12,,Warning letter,N,"478.124(c)(5), 478.21(a), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/768090-2017-0080-B1B.pdf
779025-2016-0393-B1B,5-48-031-07-8C-02737,Manufacturer,"Carty, Timothy Allen",Carty Enterprises,"2799 Oxen Rd, NE",Waverly,KS,66871,Coffey,2016-07-20,2017-04-21,,Warning letter,N,"478.123(a), 478.123(d), 478.124(c)(1), 478.124(c)(5), 478.124(c)(3)(iv), 478.21(a), 478.124(a), 478.124(b), 478.126a, 478.102(a)(2)(ii), 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/779025-2016-0393-B1B.pdf
785110-2015-0253-B1B,9-86-013-01-6H-04100,Dealer,"Reed, Matthew Brian And Brian Elliot",Reed's Firearms And Accessories,2082 E. Spruce Dr.,Chandler,AZ,85286,Maricopa,2015-07-31,2015-09-10,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/785110-2015-0253-B1B.pdf
782050-2016-0304-B1B,5-76-201-01-7F-33669,Dealer,"Balcerowicz, Raymond",Central Guns,14108 Green Cove Rd,Crosby,TX,77532,Harris,2016-07-25,2016-09-29,,Warning letter,N,"478.102(a), 18 USC 923(g)(5)(A)",https://atf-inspection-reports.s3.amazonaws.com/782050-2016-0304-B1B.pdf
768090-2016-0121-B1B,1-54-169-02-7E-04854,Pawnbroker,"France, George & France, Regina",Buds's Gun & Pawn,833 US Hwy 23 So,Weber City,VA,24290,Scott,2016-06-17,2016-09-09,,Warning letter,N,"478.21(a), 478.99(c)(9), 478.102(c), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/768090-2016-0121-B1B.pdf
781025-2016-0051-B1B,5-75-347-07-6C-02018,Manufacturer,"Derby's Guns, Inc.",,713 SE Stallings Drive,Nacogdoches,TX,75964,Nacogdoches,2016-02-09,2016-03-22,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/781025-2016-0051-B1B.pdf
777060-2016-0125-B1B,5-71-007-07-8B-03497,Manufacturer,J&M Machine & Suppressor LLC,,14745 Smith Ridge Rd.,Garfield,AR,72732,Benton,2015-11-23,2016-04-21,,Warning letter,N,"478.123(a), 478.123(b), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0125-B1B.pdf
763075-2017-0173-B1B,1-57-009-01-9C-01213,Dealer,"Brooker, Inc",Brooker True Value,4823 S Carolina Hwy,Denmark,SC,29042,Bamberg,2017-03-07,2017-05-02,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/763075-2017-0173-B1B.pdf
763025-2016-0395-B1B,1-56-167-01-7M-41504,Dealer,"B & E Enterprise, Inc",Hwy 49 Sporting Goods,36488 Hwy 8-49,New London,NC,28127,Stanly,2016-08-15,2016-10-05,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.21(a), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/763025-2016-0395-B1B.pdf
778035-2015-0120-B1B,3-46-029-01-8A-01527,Dealer,"Wilkey, Richard M. & Doris K.",Kampeska Lodge & Store,436 North Lake Drive,Watertown,SD,57201,Codington,2014-10-03,2017-04-12,2016-06-03,Revocation/denial of renewal,Y,"478.125(e), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.102(a), 478.99(c), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/778035-2015-0120-B1B.pdf
760555-2016-0034-B1B,1-58-029-01-7G-07046,Dealer,"Jarman, Franklin D Jr",Jarman Auction Company,101 Industrial Blvd,Pembroke,GA,31321,Bryan,2015-10-02,2015-12-01,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.102(c), 478.125(e), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/760555-2016-0034-B1B.pdf
787065-2017-0093-B1B,9-82-019-07-8K-00476,Manufacturer,"Rhodes, William Dustin",E R Gunsmithing,552 Bone Rond,Iona,ID,83427,Bonneville,2016-10-17,2017-03-17,,Warning letter,N,"478.21(a), 478.123(d), 478.124(c)(3)(i), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/787065-2017-0093-B1B.pdf
776070-2015-0241-B1B,1-62-187-07-6L-04936,Manufacturer,Maximus Arms LLC,Maximus Arms LLC,1226 C Lake View Drive,Franklin,TN,37067,Williamson,2015-07-02,2015-11-06,,Warning letter,N,"478.123(a), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/776070-2015-0241-B1B.pdf
776070-2016-0083-B1B,1-62-139-01-6K-03253,Dealer,Benton Shooters Supply LLC,,6595 Hwy 411,Benton,TN,37307,Polk,2015-11-24,2016-09-23,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/776070-2016-0083-B1B.pdf
781085-2016-0116-B1B,5-73-019-02-8M-03042,Pawnbroker,Jerrys Gun & Loan LLC,Jerry's Gun Shop,715 Grand Ave,Ardmore,OK,73401,Carter,2015-10-20,2016-09-26,,Warning letter,N,"478.99(c), 478.124(c)(1), 478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781085-2016-0116-B1B.pdf
763050-2017-0041-B1B,1-56-107-02-8M-04984,Pawnbroker,"Heath, Frank Edward",Heath's Firearm Service,1854 Green Haynes Rd.,Kinston,NC,28504,Lenoir,2016-10-11,2017-02-01,,Warning letter,N,"[MISSING], [MISSING], [MISSING]",https://atf-inspection-reports.s3.amazonaws.com/763050-2017-0041-B1B.pdf
768075-2016-0060-B1B,1-54-059-01-7B-04707,Dealer,DLKR Inc,T/a Davis General Store,7600 Clifton Rd,Fairfax,VA,22039,Fairfax,2015-12-02,2016-01-27,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.125(e), 479.131",https://atf-inspection-reports.s3.amazonaws.com/768075-2016-0060-B1B.pdf
779075-2016-0121-B1B,5-43-153-02-7K-09328,Pawnbroker,"Bryant, Steve Mark",Bryant Gun & Pawn,#13 Court Square,Gainesville,MO,65655,Ozark,2015-10-02,2016-02-10,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/779075-2016-0121-B1B.pdf
777040-2016-0227-B1B,5-72-033-01-8C-03668,Dealer,"Bayou Pelican Stocks & Steel, LLC",Barking Irons Gunsmith Shop,42331 Troxclair Lane,Gonzales,LA,70737,Ascension Parish,2016-02-04,2016-04-28,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777040-2016-0227-B1B.pdf
787065-2016-0111-B1B,9-91-063-01-9M-00448,Dealer,Evergreen Supply Co. Of Spokane Inc.,White Elephant Stores,1730 N Division,Spokane,WA,99207,Spokane,2015-10-09,2017-03-06,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/787065-2016-0111-B1B.pdf
779075-2016-0148-B1B,5-43-029-01-5K-02156,Dealer,"Alkire, Raymond E & Patricia S",Alkire's Firearms,432 Southern Sunset Ridge,Montreal,MO,65591,Camden,2015-10-05,2016-05-05,,Warning letter,N,"478.124(a), 478.102(a), 478.50, 478.126a, 478.124(b), 478.124(c)(3)(iv), 478.125(e), 478.124(c)(5), 478.103(a)",https://atf-inspection-reports.s3.amazonaws.com/779075-2016-0148-B1B.pdf
772070-2017-0025-B1B,3-37-121-02-8G-01490,Pawnbroker,Top Dollar Pawn Inc,Top Dollar Pawn,215 E Noleman,Centralia,IL,62801,Marion,2016-10-03,2017-05-01,,Warning letter,N,"478.125(e), 478.124(c)(5), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/772070-2017-0025-B1B.pdf
779025-2016-0324-B1B,5-48-177-01-6F-01494,Dealer,"Kaw Valley Gun Club, LLC",,3043 NW Button Rd,Topeka,KS,66618,Shawnee,2016-05-05,2016-06-20,,Warning letter,N,"478.125(e), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/779025-2016-0324-B1B.pdf
786040-2016-0070-B1B,9-68-007-01-6C-00831,Dealer,"Peeples, Richard Paul & Phillip Paul",The Tackle Box,379 E Park Ave.,Chico,CA,95928,Butte,2015-12-14,2016-02-16,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.99(c), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/786040-2016-0070-B1B.pdf
763050-2016-0478-B1B,1-56-063-01-8D-00023,Dealer,"Dick's Sporting Goods, Inc.","Dick's Sporting Goods, Inc. (#207)",5422 New Hope Commons Dr.,Durham,NC,27707,Durham,2016-08-02,2016-08-29,,Warning letter,N,"478.124(c)(3)(i), 478.124(c)(5), 478.21(a), 478.124(c)(3)(iv), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/763050-2016-0478-B1B.pdf
776055-2017-0077-B1B,1-62-077-07-8F-06145,Manufacturer,Cross Machine Tool Co. Inc,CMT,312 Law Community Road,Lexington,TN,38351,Henderson,2016-10-03,2017-02-17,,Warning letter,N,"478.54, 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/776055-2017-0077-B1B.pdf
776055-2015-0245-B1B,1-62-165-01-5L-00209,Dealer,Poindexter Bait Inc,,1380 South Waters Ave.,Gallatin,TN,37066,Sumner,2015-07-17,2015-08-18,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/776055-2015-0245-B1B.pdf
763025-2017-0115-B1B,1-56-089-01-8A-06942,Dealer,Doug Shipman,,5 Banner Farm Road,Horse Shoe,NC,28742,Henderson,2016-12-12,2017-01-31,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/763025-2017-0115-B1B.pdf
777060-2016-0170-B1B,5-71-033-01-8J-01540,Dealer,"Dickerson Hardware, Inc.",,1200 N. Main St.,Mulberry,AR,72947,Crawford,2016-01-11,2016-03-31,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0170-B1B.pdf
777060-2016-0084-B1B,5-71-085-02-5C-02282,Pawnbroker,"County Line Pawn, LLC",County Line Pawn,3585 Hwy 367 South,Cabot,AR,72023,Lonoke,2015-10-27,2016-02-02,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0084-B1B.pdf
765060-2017-0036-B1B,6-13-085-07-9B-00054,Manufacturer,Majestic Arms Ltd,,101 A Ellis St,Staten Island,NY,10307,Richmond,2016-10-01,2017-03-15,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/765060-2017-0036-B1B.pdf
766060-2016-0332-B1B,8-25-019-01-8C-01965,Dealer,"Kern, Kurt L",,141 W Brewster Rd,Butler,PA,16001,Butler,2016-03-03,2016-04-29,,Warning letter,N,478.129(b),https://atf-inspection-reports.s3.amazonaws.com/766060-2016-0332-B1B.pdf
778025-2017-0185-B1B,3-39-019-01-7G-03611,Dealer,Sparky's Sport Shop LLC,Sparky's Sport Shop,W327 Co Rd N,Colby,WI,54421,Clark,2016-10-03,2016-12-21,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/778025-2017-0185-B1B.pdf
776055-2016-0134-B1B,1-62-189-02-7C-36573,Pawnbroker,Pawn Mart Inc,Lebanon Pawn & Gun,1331 West Main St,Lebanon,TN,37087,Wilson,2016-03-01,2016-04-22,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/776055-2016-0134-B1B.pdf
778025-2016-0117-B1B,3-39-087-07-7K-05169,Manufacturer,Roth Concept Innovations LLC,Rci,N9652 Highline Road Unit NM,Kaukauna,WI,54130,Outagamie,2015-10-01,2016-04-28,,Warning letter,N,"478.92(a)(1)(ii)(C), 478.92(a)(1)(ii)(D), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/778025-2016-0117-B1B.pdf
761025-2016-0121-B1B,8-52-023-01-6F-06080,Dealer,"Hebden, Skyler John",,2 Vista Square,Oakland,MD,21550,Garrett,2016-01-27,2016-05-10,,Warning letter,N,478.124,https://atf-inspection-reports.s3.amazonaws.com/761025-2016-0121-B1B.pdf
776070-2016-0050-B1B,1-62-163-07-7F-05304,Manufacturer,"Riehl, Mark Edward",Riehls Gunsmithing & Firearms,2012 West State Street,Bristol,TN,37321,Sullivan,2015-10-06,2016-03-11,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/776070-2016-0050-B1B.pdf
773030-2016-0133-B1B,4-34-033-07-6A-09687,Manufacturer,"Brose, Charles Michael",Village Gun Shop,6920 Wilson Street,Chatfield,OH,44825,Crawford,2015-10-22,2016-02-01,,Warning letter,N,478.123(a),https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0133-B1B.pdf
760555-2016-0147-B1B,1-58-029-01-6K-17142,Dealer,"Walz, Paul Gregory",Richard Hill Marine & Sporting Goods,10128 Ford Ave,Richmond Hill,GA,31324,Bryan,2016-01-25,2016-05-20,,Warning letter,N,"478.124(c)(1), 478.21(a), 478.124(c)(3)(iv), 478.124(c)(3)(i), 478.124(c)(5), 478.131(a)(2), 478.129(b), 478.102(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/760555-2016-0147-B1B.pdf
782110-2017-0053-B1B,5-74-047-01-8E-07764,Dealer,"Guerra, Marcus Nikolo",Strong Arm Guns & Ammo,248 County Road 227,Falfurrias,TX,78355,Brooks,2016-10-18,2016-12-08,,Warning letter,N,"478.125(e), 478.124(c)(3)(i), 478.126a, 478.124(c)(1), 18 USC 923(g)(5)(A)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0053-B1B.pdf
760560-2016-0055-B1B,1-58-295-02-7B-04449,Pawnbroker,"Tucker, Terry Lee Sr",Talespinners Outdoors,19 East Reed Rd,La Fayette,GA,30728,Walker,2015-10-02,2016-05-12,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.124(c)(3)(i), 478.131(a)(2), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760560-2016-0055-B1B.pdf
777040-2015-0085-B1B,5-72-115-07-5H-03754,Manufacturer,"Ashworth, David",Long Rifle Guns,605 Alexandria Hwy,Leesville,LA,71446,Vernon Parish,2014-10-01,2015-06-24,,Warning conference,N,"479.103, 478.123(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.21(a), 478.124(c)(5), 478.102(a), 478.126a, 478.99(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/777040-2015-0085-B1B.pdf
762055-2016-0155-B1B,6-04-003-07-9A-03780,Manufacturer,Aberdales Inc.,A & J Sporting Goods,10 Depot Street,Housatonic,MA,01236,Berkshire,2015-12-11,2018-01-09,,Warning letter,N,"478.123(b), 478.126a, 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iii), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.123(a)",https://atf-inspection-reports.s3.amazonaws.com/762055-2016-0155-B1B.pdf
776055-2016-0078-B1B,1-62-147-02-8M-04294,Pawnbroker,"Culbreath, Mark Alan",White House Pawn Shop,111 Hwy 76,White House,TN,37188,Robertson,2015-11-12,2016-01-06,,Warning letter,N,"478.39a, 478.125(e), 478.99(c), 478.124(c)(1), 478.102(c), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/776055-2016-0078-B1B.pdf
785110-2016-0152-B1B,9-86-013-02-7E-36161,Pawnbroker,Terrigino Inc,Advantage Pawn & Jewelry,1099 N. Alma School Rd.,Chandler,AZ,85224,Maricopa,2016-03-31,2017-01-13,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/785110-2016-0152-B1B.pdf
785055-2015-0129-B1B,5-85-043-07-8J-01802,Manufacturer,JP'S Armory And Militaria LLC,,3810 St Andrews Drive SE,Rio Rancho,NM,87124,Sandoval,2015-03-09,2016-04-05,2016-11-14,Revocation/denial of renewal,Y,"478.123(a), 478.123(b), 478.123(d), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.102(a), 478.124(a), 478.21(a), 478.128(c), 478.126a, 478.99(a)",https://atf-inspection-reports.s3.amazonaws.com/785055-2015-0129-B1B.pdf
777070-2016-0115-B1B,5-72-123-02-7F-03343,Pawnbroker,Jessies Enterprises Inc.,Jessies,604 W Main,Oak Grove,LA,71263,West Carroll Parish,2015-11-30,2016-10-04,,Warning conference,N,"478.125(e), 478.124(c)(5), 478.124(c)(4), 478.102(c), 478.126a, 478.102(a)(2)(ii), 478.50, 478.99(c), 478.128(c), 478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(3)(i), 478.131(a)(2), 478.124(b)",https://atf-inspection-reports.s3.amazonaws.com/777070-2016-0115-B1B.pdf
777070-2016-0239-B1B,5-72-015-02-7K-37395,Pawnbroker,Matthew W. Reyenga,Southern Pawn & Loan,2955 Hwy 80 E,Haughton,LA,71037,Bossier Parish,2016-02-25,2016-05-24,,Warning letter,N,"478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.21(a), 478.124(c)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777070-2016-0239-B1B.pdf
773015-2016-0382-B1B,4-31-131-02-9F-36113,Pawnbroker,Pike County Pawn Shop Inc.,,720 West Emmitt Avenue,Waverly,OH,45690,Pike,2016-03-18,2016-05-23,,Warning letter,N,"478.99(c), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0382-B1B.pdf
779075-2017-0048-B1B,5-43-037-01-7D-05187,Dealer,Mayo Auction & Realty Inc,Mayo Auction & Realty,16513-16515 Cornerstone Dr,Belton,MO,64012,Cass,2016-10-03,2017-05-04,,Warning letter,N,"478.125(e), 478.21(a), 478.102(a)(2)(ii), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/779075-2017-0048-B1B.pdf
768035-2016-0234-B1B,1-54-003-01-8B-09980,Dealer,"High Tech Outdoors & Archery, LLC",,3688 Richmond Road Suite 2,Keswick,VA,22947,Albemarle,2016-04-27,2016-05-27,,Warning letter,N,"478.124(c)(1), 478.126a, 478.124(a), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/768035-2016-0234-B1B.pdf
777040-2016-0084-B1B,1-64-147-01-8G-12351,Dealer,Luter's Supply Co Inc,,104 S Adams St,Tylertown,MS,39667,Walthall,2015-10-16,2016-01-07,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/777040-2016-0084-B1B.pdf
